CNPJ;RAZAO SOCIAL;GRUPO EMPRESA;GRUPO LOBE;TIPO;REGIME TRIBUTARIO;REGIME APURACAO;CERTIFICADO DIGITAL;Validade Certificados;CONTRATO SOCIAL;UF;MUNICIPIO;E-MAIL FISCAL ;E-MAIL CONTABIL;E-MAIL FINANCEIRO;CNPJ;;RESPONSAVEL DP;;GRUPO;LIDER - GRUPO;QUANTIDADE
37.364.472/0001-33;A3 CONSULTING SLU LTDA;GRUPO A3 CONSULTING;LB 07;Prestador de ServiCo;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F37364472000133%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F37364472000133%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;eduardo.andrade@locagyn.com.br;eduardo.andrade@locagyn.com.br;eduardo.andrade@locagyn.com.br;3,73645E+13;3,73645E+13;SEM FOLHA;;LB 01;PEDRO HENRIQUE;22
19.089.158/0001-08;A. C. L. NEVES TRANSPORTES;GRUPO ACL NEVES;LB 07;Transporte De Cargas;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F19089158000108%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;05/05/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F19089158000108%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;SP;AMERIACANA;aclnevestransportes@hotmail.com;aclnevestransportes@hotmail.com;aclnevestransportes@hotmail.com;1,90892E+13;1,90892E+13;WILLIAN MACHADO;;LB 02;KEROLLAYNNE;16
40.217.025/0001-66;AGRO PET VERA CRUZ EIRELI;GRUPO AGRO PET;LB 07;ComErcio/ServiCo;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F40217025000166%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;01/07/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F40217025000166%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;agropop.veracruz2@gmail.com;4,0217E+13;4,0217E+13;STEPHANNE PEREIRA;;LB 03;MARCUS VINICIUS;29
34.814.039/0001-64;AGRO PET KET EIRELI;GRUPO AGRO PET;LB 07;ComErcio/ServiCo;SIMPLES NACIONAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F34814039000164%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;16/09/2022;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F34814039000164%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;agropop.vilaregina@gmail.com;3,4814E+13;3,4814E+13;SEM FOLHA;;LB 04;YNGRID ASSIS;25
34.351.642/0001-57;ALPHAMED COMERCIO DE PRODUTOS HOSPITALARES;GRUPO ALPHAMED;LB 05;ComErcio/Transporte;LUCRO REAL;MENSAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F34351642000157%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;30/06/2023;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F34351642000157%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;APARECIDA DE GOIÂNIA;financeiro@alphamedhospitalar.com.br;financeiro@alphamedhospitalar.com.br;financeiro@alphamedhospitalar.com.br;3,43516E+13;3,43516E+13;PABLINE DARES;;LB 05;CARMELITA;24
23.245.718/0001-43;ALVES COSTA INVESTIMENTOS E PARTICIPACOES LTDA;GRUPO ALVES COSTA;LB 05;Prestador de ServiCo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F23245718000143%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F23245718000143%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;;;;2,32457E+13;2,32457E+13;SEM FOLHA;;LB 06;CINTIA CRISTINA;16
17.032.154/0001-68;ARTESANAL FRANCHISING GESTAO DE INTANGIVEIS LTDA;GRUPO ARTESANAL;LB 01;Prestador de ServiCo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F17032154000168%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;09/12/2022;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F17032154000168%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;contabilidade@artesanalfarmacia.com.br | getulio@farmaciaartesanal.com | thiagodamata@artesanalfarmacia.com.br;contabilidade@artesanalfarmacia.com.br | getulio@farmaciaartesanal.com | thiagodamata@artesanalfarmacia.com.br;contabilidade@artesanalfarmacia.com.br | getulio@farmaciaartesanal.com | thiagodamata@artesanalfarmacia.com.br;1,70322E+13;1,70322E+13;FOLHA INTERNA;;LB 07;TALYTTA MOURA;113
34.890.173/0001-44;CONECTA COMUNICACAO, TREINAMENTO E DESENVOLVIMENTO;GRUPO ARTESANAL;LB 01;Prestador de ServiCo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F34890173000144%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F34890173000144%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;contabilidade@artesanalfarmacia.com.br | getulio@farmaciaartesanal.com | thiagodamata@artesanalfarmacia.com.br;contabilidade@artesanalfarmacia.com.br | getulio@farmaciaartesanal.com | thiagodamata@artesanalfarmacia.com.br;contabilidade@artesanalfarmacia.com.br | getulio@farmaciaartesanal.com | thiagodamata@artesanalfarmacia.com.br;3,48902E+13;3,48902E+13;FOLHA INTERNA;;LB 08;INGRITY COSTA;21
02.907.061/0018-00;TOKARSKI COMERCIO & INDUSTRIA- 00;GRUPO ARTESANAL;LB 01;ComErcio/ServiCo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F02907061001800%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F02907061001800%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;contabilidade@artesanalfarmacia.com.br;thiagodamata@artesanalfarmacia.com.br;getulio@farmaciaartesanal.com;2,90706E+12;2,90706E+12;FOLHA INTERNA;;Total.:;;266
02.907.061/0013-04;TOKARSKI COMERCIO & INDUSTRIA- 04;GRUPO ARTESANAL;LB 01;ComErcio/ServiCo;LUCRO PRESUMIDO;TRIMESTRAL;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?ga=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FDOC%27S%2F02907061001304%2F2022%2F00%2DCERT&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;;https://lobebr.sharepoint.com/sites/lobe/Shared%20Documents/Forms/AllItems.aspx?useFiltersInViewXml=1&id=%2Fsites%2Flobe%2FShared%20Documents%2FGestao3%2F02907061001304%2F05%2DJUR%2F01%2DJunta%20Comercial%2F01%2DContratos%20Autenticados&viewid=1ea88aaa%2D0d0a%2D40c4%2Dab25%2D7c033e7f7d58;GO;GOIÂNIA;contabilidade@artesanalfarmacia.com.br;thiagodamata@artesanalfarmacia.com.br;getulio@farmaciaartesanal.com;2,90706E+12;2,90706E+12;FOLHA INTERNA;;;;
